trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-49.870007193357445,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-261.1626304710702,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-101.28235321081053,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-130.8693449211594,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-37.45205638442415,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-59.902579211662356,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-18.257618758043247,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-123.0641090338083,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,7,-5.576647270589197,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,4,-81.4148637411164,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-73.30598671323582,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-194.07627299713118,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-238.54457704738138,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 5}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-45.729000543737826,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-6.586367889456243,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-43.93940522730528,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,10,-21.51523944050668,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-117.69771923183788,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-48.81545427442062,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,13,7.332952123706033,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-114.66600652767411,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",25,0,-23.587047677954345,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-123.69865627047406,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,6,15.389879059772984,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,7,-11.294346198585163,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",35,16,23.343411904995474,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,9,-55.16381341353469,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",25,13,22.9499018667676,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,20.451173799632645,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,26.52859617113803,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
