trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",20,0,-99.1191736363101,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.99, 'e': 0.9801}",20,4,-54.265024327474634,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.99, 'e': 0.970299}",25,0,-135.8766349251408,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.99, 'e': 0.96059601}",25,0,-256.19676533814993,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 5}",0
5,False,"{'a': 0.99, 'e': 0.9509900498999999}",25,0,-100.038323418955,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.99, 'e': 0.941480149401}",20,0,-8.108585626369265,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.99, 'e': 0.9320653479069899}",25,0,-62.41949188942928,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.99, 'e': 0.9227446944279201}",25,0,-127.3499878304316,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.99, 'e': 0.9135172474836408}",25,0,-145.2037864478501,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.99, 'e': 0.9043820750088044}",25,0,-150.59922210364184,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.99, 'e': 0.8953382542587164}",25,0,-75.59898866388593,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.99, 'e': 0.8863848717161292}",25,0,-164.11114014281384,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
13,False,"{'a': 0.99, 'e': 0.8775210229989678}",20,0,-145.60069170935066,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.99, 'e': 0.8687458127689782}",20,0,-151.55925606940013,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.99, 'e': 0.8600583546412884}",20,0,-96.5607855434262,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.99, 'e': 0.8514577710948755}",25,0,-82.1379687433971,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.99, 'e': 0.8429431933839268}",35,0,-38.72593090434236,"{0: 29, 1: 2, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.99, 'e': 0.8345137614500875}",20,0,-156.1600117792296,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
19,False,"{'a': 0.99, 'e': 0.8261686238355866}",25,14,0.539855590371646,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.99, 'e': 0.8179069375972308}",20,0,-88.69948777159325,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.99, 'e': 0.8097278682212584}",30,0,-147.42852402409503,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
22,False,"{'a': 0.99, 'e': 0.8016305895390459}",30,0,-156.43693669400335,"{0: 17, 1: 5, 2: 3, 3: 4, 4: 1}",0
23,False,"{'a': 0.99, 'e': 0.7936142836436554}",20,1,-123.8744492708844,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 2}",1
24,False,"{'a': 0.99, 'e': 0.7856781408072188}",20,0,-65.98217045460687,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.99, 'e': 0.7778213593991467}",25,15,-33.724311568134546,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.99, 'e': 0.7700431458051551}",25,0,-127.32625403620732,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
27,False,"{'a': 0.99, 'e': 0.7623427143471035}",30,9,-39.26267124376729,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 0}",1
28,False,"{'a': 0.99, 'e': 0.7547192872036326}",20,0,-158.86378580774573,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
29,False,"{'a': 0.99, 'e': 0.7471720943315961}",35,0,-175.64409442480004,"{0: 22, 1: 3, 2: 6, 3: 2, 4: 2}",0
30,False,"{'a': 0.99, 'e': 0.7397003733882802}",20,0,-166.90436357444352,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
31,False,"{'a': 0.99, 'e': 0.7323033696543975}",20,0,-158.28445550877814,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
32,False,"{'a': 0.99, 'e': 0.7249803359578534}",25,0,-91.2078692549233,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
33,False,"{'a': 0.99, 'e': 0.7177305325982749}",30,0,-194.032174519452,"{0: 18, 1: 2, 2: 4, 3: 4, 4: 2}",0
34,False,"{'a': 0.99, 'e': 0.7105532272722921}",25,7,-19.35431176471282,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.99, 'e': 0.7034476949995692}",20,0,-82.47974385216743,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.99, 'e': 0.6964132180495735}",25,0,-113.15160129194525,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
37,False,"{'a': 0.99, 'e': 0.6894490858690777}",25,5,-18.20872425979887,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.99, 'e': 0.682554595010387}",20,0,-133.7668436718389,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
39,False,"{'a': 0.99, 'e': 0.6757290490602831}",25,0,-71.56593646772383,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.99, 'e': 0.6689717585696803}",30,0,-65.14835279834891,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.99, 'e': 0.6622820409839835}",20,0,-67.65969104226909,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.99, 'e': 0.6556592205741436}",25,12,-9.313268408278898,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.99, 'e': 0.6491026283684022}",20,0,-45.63224277346525,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
44,False,"{'a': 0.99, 'e': 0.6426116020847181}",30,0,-100.25779020278229,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.99, 'e': 0.6361854860638709}",20,0,-26.048840097265824,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.99, 'e': 0.6298236312032323}",20,0,-65.58191409916863,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.99, 'e': 0.6235253948912}",20,0,-90.65274292734485,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
48,False,"{'a': 0.99, 'e': 0.617290140942288}",20,0,-110.79393882830165,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
49,False,"{'a': 0.99, 'e': 0.611117239532865}",20,0,-101.34078808673483,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
50,False,"{'a': 0.99, 'e': 0.6050060671375364}",20,0,-133.3571138814286,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
51,False,"{'a': 0.99, 'e': 0.598956006466161}",25,0,-73.29213574423207,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.99, 'e': 0.5929664464014994}",20,0,-39.76229886066495,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.99, 'e': 0.5870367819374844}",20,11,-44.622428620328286,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.99, 'e': 0.5811664141181095}",30,9,-26.637406897770855,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.99, 'e': 0.5753547499769285}",25,15,-8.811435885257977,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.99, 'e': 0.5696012024771592}",35,18,-67.82040273235266,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 2}",1
57,False,"{'a': 0.99, 'e': 0.5639051904523875}",20,14,8.719125050401527,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.99, 'e': 0.5582661385478637}",25,7,-99.67054958880425,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 2}",1
59,False,"{'a': 0.99, 'e': 0.5526834771623851}",20,3,-33.40978601023535,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.99, 'e': 0.5471566423907612}",20,0,-39.74071335267153,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.99, 'e': 0.5416850759668536}",30,18,-8.115078465998891,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.99, 'e': 0.536268225207185}",25,8,-37.497689356926564,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 0}",1
63,False,"{'a': 0.99, 'e': 0.5309055429551132}",25,11,-0.8199684848972693,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.99, 'e': 0.525596487525562}",30,5,-191.84747603910614,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",1
65,False,"{'a': 0.99, 'e': 0.5203405226503064}",20,0,-6.223740610708659,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.99, 'e': 0.5151371174238033}",25,0,-87.29978274698031,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
67,False,"{'a': 0.99, 'e': 0.5099857462495653}",25,0,-51.19124727488318,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
68,False,"{'a': 0.99, 'e': 0.5048858887870696}",20,11,-41.588895430082076,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.99, 'e': 0.4998370298991989}",20,3,-50.086835890743274,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
70,False,"{'a': 0.99, 'e': 0.49483865960020695}",20,0,-110.9045315433261,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
71,False,"{'a': 0.99, 'e': 0.4898902730042049}",25,0,-50.12445902610492,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.99, 'e': 0.48499137027416284}",20,10,-28.579075615671265,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
73,False,"{'a': 0.99, 'e': 0.4801414565714212}",20,0,-37.99543589528516,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
74,False,"{'a': 0.99, 'e': 0.47534004200570695}",20,14,-16.965157060900076,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.99, 'e': 0.4705866415856499}",25,18,-8.16863200491873,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.99, 'e': 0.46588077516979337}",25,0,-85.45649559140075,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
77,False,"{'a': 0.99, 'e': 0.46122196741809546}",20,0,-62.41424852557833,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
78,False,"{'a': 0.99, 'e': 0.4566097477439145}",25,0,-44.31919796566351,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
79,False,"{'a': 0.99, 'e': 0.45204365026647536}",30,0,-50.862070997367105,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
80,False,"{'a': 0.99, 'e': 0.4475232137638106}",20,0,-69.17683955001147,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
81,False,"{'a': 0.99, 'e': 0.4430479816261725}",25,11,-25.676252077726417,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.99, 'e': 0.43861750180991077}",25,11,-68.45516609533492,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
83,False,"{'a': 0.99, 'e': 0.43423132679181164}",20,9,-69.95408900669686,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
84,False,"{'a': 0.99, 'e': 0.4298890135238935}",25,9,6.215464032803197,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.99, 'e': 0.4255901233886546}",20,3,-20.527663043978016,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
86,False,"{'a': 0.99, 'e': 0.421334222154768}",20,14,-29.643234941997118,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.99, 'e': 0.41712087993322033}",25,0,7.156878895639273,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
88,False,"{'a': 0.99, 'e': 0.41294967113388814}",25,0,-131.99990550377225,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
89,False,"{'a': 0.99, 'e': 0.40882017442254925}",20,0,-18.656889643882888,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.99, 'e': 0.4047319726783238}",20,2,-60.56192627472731,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
91,False,"{'a': 0.99, 'e': 0.40068465295154054}",20,0,-3.4531998366348757,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.99, 'e': 0.3966778064220251}",35,0,-157.20653737315706,"{0: 27, 1: 1, 2: 3, 3: 0, 4: 4}",1
93,False,"{'a': 0.99, 'e': 0.39271102835780486}",25,0,-60.675915532961454,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
94,False,"{'a': 0.99, 'e': 0.3887839180742268}",20,0,-22.20518612328654,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
95,False,"{'a': 0.99, 'e': 0.38489607889348454}",25,9,-5.831997006894799,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.99, 'e': 0.38104711810454966}",20,7,11.326274647965727,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.99, 'e': 0.37723664692350417}",35,20,5.829229192301124,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.99, 'e': 0.37346428045426916}",20,1,-15.407229330087615,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
99,False,"{'a': 0.99, 'e': 0.36972963764972644}",25,9,18.29991883378224,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.99, 'e': 0.3660323412732292}",20,0,-57.29276703278672,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
101,False,"{'a': 0.99, 'e': 0.3623720178604969}",20,6,-43.63967614785041,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.99, 'e': 0.3587482976818919}",20,0,-6.674958167626824,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.99, 'e': 0.355160814705073}",20,8,16.290418577543182,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.99, 'e': 0.35160920655802225}",20,15,-34.58396297752104,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.99, 'e': 0.348093114492442}",20,6,9.067645782727546,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.99, 'e': 0.3446121833475176}",30,0,-10.606866619178966,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
107,False,"{'a': 0.99, 'e': 0.34116606151404244}",20,0,-74.71345443481181,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
108,False,"{'a': 0.99, 'e': 0.337754400898902}",20,0,-25.914256739324543,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
109,False,"{'a': 0.99, 'e': 0.334376856889913}",35,1,-4.886003129560976,"{0: 29, 1: 1, 2: 4, 3: 0, 4: 0}",1
