trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.8024384666883,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.56597863396465,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.36884866727841,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.10441939996849,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.86770821204415,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.22625692483737,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.93598188962801,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-170.47189171157092,"{0: 20, 1: 4, 2: 8, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-228.85928214280233,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.8447575260515,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.77422886336598,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.99590502531177,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.0056592657628,"{0: 11, 1: 7, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.23603521386615,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.53314112571248,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.92017850104052,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.85625429225408,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.83648845222204,"{0: 10, 1: 7, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-291.819101675572,"{0: 11, 1: 5, 2: 8, 3: 2, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-190.8010052999581,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-67.24658640675919,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-216.1499206256646,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-27.026864683534697,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-66.98400032694366,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,19,-0.24932644216850552,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.88339142334402,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-92.34902593026287,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-25.23033765547705,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,8,-165.77841717198967,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 3}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.52088072750828,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
